"filename", "language", "Vue", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\views\system\dept\index.vue", "Vue", 312, 23, 6, 341
"Total", "-", 312, 23, 6, 341
