"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\api\natsys\scheme.js", "JavaScript", 34, 5, 6, 45
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\api\natsys\testDoctor.js", "JavaScript", 34, 5, 6, 45
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-ui\src\api\natsys\testPatient.js", "JavaScript", 34, 5, 6, 45
"Total", "-", 102, 15, 18, 135
