"filename", "language", "XML", "Java", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\java\com\ruoyi\web\controller\system\SysUserController.java", "Java", 0, -198, 0, 0, -35, -19, -252
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\java\com\ruoyi\web\controller\tool\TestController.java", "Java", 0, -156, 0, 0, -5, -23, -184
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\java\com\ruoyi\web\core\config\SwaggerConfig.java", "Java", 0, -80, 0, 0, -36, -10, -126
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\resources\META-INF\spring-devtools.properties", "Properties", 0, 0, 0, -1, 0, 0, -1
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\resources\application-druid.yml", "YAML", 0, 0, -44, 0, -17, 0, -61
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\resources\application.yml", "YAML", 0, 0, -69, 0, -53, -10, -132
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\resources\i18n\messages.properties", "Properties", 0, 0, 0, -30, -3, -6, -39
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\resources\logback.xml", "XML", -62, 0, 0, 0, -23, -8, -93
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\ruoyi-admin\src\main\resources\mybatis\mybatis-config.xml", "XML", -12, 0, 0, 0, -7, -2, -21
"Total", "-", 148, -1284, -113, -31, -31, -70, -1381
